name,value,year,lastValue,rank,year2
Övrig värmekraft,638,70,416,3,200810
Vindkraft,255,70,120,4,200810
Ospecificerad produktion,21,70,18,5,200810
Gasturbin & dieselkraft,6,70,2,6,200810
Vattenkraft,5813,71,5340,1,200811
Kärnkraft,4085,71,4719,2,200811
Övrig värmekraft,942,71,638,3,200811
Vindkraft,248,71,255,4,200811
Ospecificerad produktion,10,71,21,5,200811
Gasturbin & dieselkraft,5,71,6,6,200811
Vattenkraft,6428,72,5813,1,200812
Kärnkraft,4216,72,4085,2,200812
Övrig värmekraft,1048,72,942,3,200812
Vindkraft,153,72,248,4,200812
Gasturbin & dieselkraft,9,72,5,5,200812
Ospecificerad produktion,7,72,10,6,200812
Vattenkraft,6422,73,6428,1,200901
Kärnkraft,6298,73,4216,2,200901
Övrig värmekraft,1180,73,1048,3,200901
Vindkraft,215,73,153,4,200901
Gasturbin & dieselkraft,21,73,9,5,200901
Ospecificerad produktion,9,73,7,6,200901
Vattenkraft,6120,74,6422,1,200902
Kärnkraft,5767,74,6298,2,200902
Övrig värmekraft,1104,74,1180,3,200902
Vindkraft,129,74,215,4,200902
Gasturbin & dieselkraft,21,74,21,5,200902
Ospecificerad produktion,9,74,9,6,200902
Vattenkraft,5899,75,6120,1,200903
Kärnkraft,5186,75,5767,2,200903
Övrig värmekraft,1105,75,1104,3,200903
Vindkraft,198,75,129,4,200903
Ospecificerad produktion,9,75,9,5,200903
Gasturbin & dieselkraft,5,75,21,6,200903
Vattenkraft,4657,76,5899,1,200904
Kärnkraft,4575,76,5186,2,200904
Övrig värmekraft,627,76,1105,3,200904
Vindkraft,138,76,198,4,200904
Gasturbin & dieselkraft,11,76,5,5,200904
Ospecificerad produktion,8,76,9,6,200904
Vattenkraft,4999,77,4657,1,200905
Kärnkraft,4385,77,4575,2,200905
Övrig värmekraft,463,77,627,3,200905
Vindkraft,195,77,138,4,200905
Gasturbin & dieselkraft,80,77,11,5,200905
Ospecificerad produktion,1,77,8,6,200905
Vattenkraft,4225,78,4999,1,200906
Kärnkraft,4167,78,4385,2,200906
Övrig värmekraft,238,78,463,3,200906
Vindkraft,170,78,195,4,200906
Gasturbin & dieselkraft,88,78,80,5,200906
Ospecificerad produktion,1,78,1,6,200906
Vattenkraft,4249,79,4225,1,200907
Kärnkraft,3777,79,4167,2,200907
Vindkraft,169,79,170,3,200907
Övrig värmekraft,140,79,238,4,200907
Gasturbin & dieselkraft,73,79,88,5,200907
Ospecificerad produktion,1,79,1,6,200907
Vattenkraft,5463,80,4249,1,200908
Kärnkraft,2824,80,3777,2,200908
Vindkraft,195,80,169,3,200908
Övrig värmekraft,137,80,140,4,200908
Gasturbin & dieselkraft,92,80,73,5,200908
Ospecificerad produktion,1,80,1,6,200908
Vattenkraft,5633,81,5463,1,200909
Kärnkraft,2550,81,2824,2,200909
Vindkraft,299,81,195,3,200909
Övrig värmekraft,297,81,137,4,200909
Gasturbin & dieselkraft,135,81,92,5,200909
Ospecificerad produktion,1,81,1,6,200909
Vattenkraft,6009,82,5633,1,200910
Kärnkraft,3449,82,2550,2,200910
Övrig värmekraft,756,82,297,3,200910
Vindkraft,255,82,299,4,200910
Gasturbin & dieselkraft,150,82,135,5,200910
Ospecificerad produktion,1,82,1,6,200910
Vattenkraft,5782,83,6009,1,200911
Kärnkraft,3342,83,3449,2,200911
Övrig värmekraft,953,83,756,3,200911
Vindkraft,341,83,255,4,200911
Gasturbin & dieselkraft,4,83,150,5,200911
Ospecificerad produktion,1,83,1,6,200911
Vattenkraft,6917,84,5782,1,200912
Kärnkraft,3762,84,3342,2,200912
Övrig värmekraft,1592,84,953,3,200912
Vindkraft,220,84,341,4,200912
Gasturbin & dieselkraft,19,84,4,5,200912
Ospecificerad produktion,1,84,1,6,200912
Vattenkraft,7380,85,6917,1,201001
Kärnkraft,4681,85,3762,2,201001
Övrig värmekraft,1763,85,1592,3,201001
Vindkraft,253,85,220,4,201001
Gasturbin & dieselkraft,39,85,19,5,201001
Ospecificerad produktion,1,85,1,6,201001
Vattenkraft,6360,86,7380,1,201002
Kärnkraft,3907,86,4681,2,201002
Övrig värmekraft,1637,86,1763,3,201002
Vindkraft,200,86,253,4,201002
Gasturbin & dieselkraft,39,86,39,5,201002
Ospecificerad produktion,1,86,1,6,201002
Kärnkraft,5107,87,3907,1,201003
Vattenkraft,5019,87,6360,2,201003
Övrig värmekraft,1528,87,1637,3,201003
Vindkraft,280,87,200,4,201003
Gasturbin & dieselkraft,11,87,39,5,201003
Ospecificerad produktion,1,87,1,6,201003
Kärnkraft,5530,88,5107,1,201004
Vattenkraft,3907,88,5019,2,201004
Övrig värmekraft,1178,88,1528,3,201004
Vindkraft,238,88,280,4,201004
Gasturbin & dieselkraft,2,88,11,5,201004
Ospecificerad produktion,1,88,1,6,201004
Kärnkraft,5708,89,5530,1,201005
Vattenkraft,5707,89,3907,2,201005
Övrig värmekraft,721,89,1178,3,201005
Vindkraft,208,89,238,4,201005
Gasturbin & dieselkraft,3,89,2,5,201005
Ospecificerad produktion,1,89,1,6,201005
Vattenkraft,5465,90,5707,1,201006
Kärnkraft,5092,90,5708,2,201006
Övrig värmekraft,508,90,721,3,201006
Vindkraft,194,90,208,4,201006
Gasturbin & dieselkraft,3,90,3,5,201006
Ospecificerad produktion,1,90,1,6,201006
Vattenkraft,5023,91,5465,1,201007
Kärnkraft,4435,91,5092,2,201007
Övrig värmekraft,393,91,508,3,201007
Vindkraft,235,91,194,4,201007
Gasturbin & dieselkraft,2,91,3,5,201007
Ospecificerad produktion,1,91,1,6,201007
Vattenkraft,5362,92,5023,1,201008
Kärnkraft,4630,92,4435,2,201008
Vindkraft,221,92,235,3,201008
Övrig värmekraft,160,92,393,4,201008
Gasturbin & dieselkraft,2,92,2,5,201008
Ospecificerad produktion,1,92,1,6,201008
Vattenkraft,4849,93,5362,1,201009
Kärnkraft,3377,93,4630,2,201009
Övrig värmekraft,560,93,160,3,201009
Vindkraft,323,93,221,4,201009
Gasturbin & dieselkraft,2,93,2,5,201009
Ospecificerad produktion,1,93,1,6,201009
